Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3_Final,Risk_Class_v3_Final,Confidence_v3_Final
2024-10-16,1.2,77.9,79.0,28.3,54.27879879879878,51.684714714714715,Medium,1.0
2024-10-17,0.0,77.9,81.0,27.9,56.47240990990989,52.561936936936924,Medium,1.0
2024-10-18,23.5,89.7,83.0,26.1,62.23814079848807,55.263365225608325,Medium,1.0
2024-10-19,0.3,69.7,74.0,27.8,44.534414414414414,41.16294723294723,Medium,1.0
2024-10-20,1.5,70.5,75.0,28.1,46.74502895752896,44.473841698841696,Medium,1.0
2024-10-21,0.0,27.5,75.0,29.4,32.74896107362079,36.76951084677265,Medium,1.0
2024-10-22,0.0,26.5,70.0,29.8,30.22562494439996,34.92182634996886,Medium,1.0
2024-10-23,0.0,25.3,71.0,29.6,30.00317714489051,34.56571606491542,Medium,1.0
2024-10-24,0.0,25.3,74.0,29.6,31.61032000203336,36.172858922058275,Medium,1.0
2024-10-25,0.0,1.8,72.0,28.5,14.155418072740906,21.646887889013875,Low,1.0
2024-10-26,0.0,1.5,72.0,29.0,14.613642044744406,22.870422447194102,Low,1.0
2024-10-27,0.0,0.0,68.0,29.7,12.26190476190476,21.84523809523809,Low,1.0
2024-10-28,0.0,0.0,66.0,29.5,10.912698412698411,20.21825396825397,Low,1.0
2024-10-29,0.0,0.0,71.0,30.0,14.285714285714286,24.285714285714285,Low,1.0
2024-10-30,53.6,53.6,75.0,28.1,47.851448519948526,50.483535392535394,Medium,1.0
2024-10-31,0.0,53.6,79.0,27.5,43.65387709137709,40.83896396396397,Medium,1.0
2024-11-01,38.4,92.0,80.0,27.5,62.13481159933853,59.010118119536976,Medium,1.0
2024-11-02,4.2,96.2,88.0,26.4,65.95202929364517,57.77708717221828,Medium,1.0
2024-11-03,0.0,96.2,78.0,28.8,55.81369596031183,52.71542050555163,Medium,1.0
2024-11-04,12.4,108.6,84.0,26.2,63.57437042286794,55.66639262934089,Medium,1.0
