Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3,Risk_Class_v3,Confidence_v3
2024-09-27,0.8,3.8,79.0,27.9,21.12462598425196,28.077312992125975,Low,1.0
2024-09-28,0.0,3.7,86.0,26.8,28.746719160104984,28.540026246719165,Low,1.0
2024-09-29,4.1,7.799999999999999,78.0,28.6,25.21228783902012,35.122255030621176,Medium,1.0
2024-09-30,,7.799999999999999,77.0,28.3,23.64513463594828,37.890784485272675,Medium,0.75
2024-10-01,0.0,6.399999999999999,82.0,26.8,24.872703412073484,24.603018372703414,Low,1.0
2024-10-02,,6.399999999999999,78.0,28.7,25.120905025760656,41.09106153397491,Medium,0.75
2024-10-03,2.0,6.899999999999999,85.0,26.9,30.844181977252838,31.24431321084863,Low,1.0
2024-10-04,2.5,8.599999999999998,87.0,26.7,33.95220909886263,32.795548993875755,Low,1.0
2024-10-05,,8.599999999999998,85.0,26.8,34.561096529600455,38.958880139982504,Medium,0.75
2024-10-06,24.2,28.7,82.0,27.3,43.27632950805088,45.42260919846989,Medium,1.0
2024-10-07,0.0,28.7,75.0,28.5,31.97934538106675,33.96586316672385,Medium,1.0
2024-10-08,0.0,28.7,91.0,26.8,46.59244061916199,38.50455364291433,Medium,1.0
2024-10-09,13.3,42.0,79.0,28.4,45.09281113779912,48.06529445778844,Medium,1.0
2024-10-10,0.0,40.0,85.0,26.9,46.76883729205585,37.60664086825014,Medium,1.0
2024-10-11,11.7,49.2,84.0,27.7,54.00650900900901,51.16492117117117,Medium,1.0
2024-10-12,20.3,69.5,85.0,27.1,61.40387387387386,54.09527027027028,Medium,1.0
2024-10-13,0.7,46.0,87.0,26.7,51.02020327373008,39.88954608130948,Medium,1.0
2024-10-14,43.0,89.0,82.0,28.1,67.66763229388141,66.30881614694071,High,1.0
2024-10-15,1.0,90.0,82.0,26.9,58.25030317347822,42.647373808961326,Medium,1.0
2024-10-16,1.2,77.9,79.0,28.3,54.27879879879878,47.127177177177174,Medium,1.0
2024-10-17,0.0,77.9,81.0,27.9,56.47240990990989,46.361204954954935,Medium,1.0
2024-10-18,23.5,89.7,83.0,26.1,62.23814079848807,50.15240373257737,Medium,1.0
2024-10-19,0.3,69.7,74.0,27.8,44.534414414414414,36.97149292149293,Medium,1.0
2024-10-20,1.5,70.5,75.0,28.1,46.74502895752896,41.090371621621635,Medium,1.0
2024-10-21,0.0,27.5,75.0,29.4,32.74896107362079,36.85067101300087,Medium,1.0
2024-10-22,0.0,26.5,70.0,29.8,30.22562494439996,35.80725691664443,Medium,1.0
2024-10-23,0.0,25.3,71.0,29.6,30.00317714489051,35.31904888990558,Medium,1.0
2024-10-24,0.0,25.3,74.0,29.6,31.61032000203336,36.65833460419129,Medium,1.0
2024-10-25,0.0,1.8,72.0,28.5,14.155418072740906,24.518185226846644,Low,1.0
2024-10-26,0.0,1.5,72.0,29.0,14.613642044744406,26.136186101737284,Low,1.0
2024-10-27,0.0,0.0,68.0,29.7,12.26190476190476,26.19047619047619,Low,1.0
2024-10-28,0.0,0.0,66.0,29.5,10.912698412698411,24.603174603174608,Low,1.0
2024-10-29,0.0,0.0,71.0,30.0,14.285714285714286,28.571428571428573,Low,1.0
2024-10-30,53.6,53.6,75.0,28.1,47.851448519948526,54.73158140283142,Medium,1.0
2024-10-31,0.0,53.6,79.0,27.5,43.65387709137709,36.201938545688556,Medium,1.0
2024-11-01,38.4,92.0,80.0,27.5,62.13481159933853,57.74740579966928,Medium,1.0
2024-11-02,4.2,96.2,88.0,26.4,65.95202929364517,49.086014646822576,Medium,1.0
2024-11-03,0.0,96.2,78.0,28.8,55.81369596031183,47.69851464682259,Medium,1.0
2024-11-04,12.4,108.6,84.0,26.2,63.57437042286794,48.7605185447673,Medium,1.0
2024-11-05,6.0,114.6,87.0,26.2,66.70039570044885,49.82519785022442,Medium,1.0
2024-11-06,3.3,64.3,82.0,27.2,52.79854997854997,43.42816387816388,Medium,1.0
2024-11-07,44.1,108.4,90.0,25.2,71.6525584691708,59.81294590125206,Medium,1.0
2024-11-08,1.2,71.19999999999999,84.0,26.6,55.51196053196053,40.77153582153583,Medium,1.0
2024-11-09,0.0,67.0,79.0,27.8,48.90283140283141,40.70141570141571,Medium,1.0
2024-11-10,97.1,164.1,83.0,26.8,72.33285424049137,66.60109378691236,High,1.0
2024-11-11,0.0,151.7,79.0,29.0,61.244290889046376,51.59436766674541,Medium,1.0
2024-11-12,37.6,183.3,86.0,26.9,75.12057957319473,63.80251200881958,Medium,1.0
2024-11-13,6.6,186.6,86.0,26.8,71.49103236475314,54.33884951570991,Medium,1.0
2024-11-14,0.0,142.49999999999997,89.0,26.2,67.46482990786676,46.35741495393338,Medium,1.0
2024-11-15,33.1,174.4,83.0,28.1,73.22133652256085,67.60566826128043,High,1.0
2024-11-16,0.0,174.4,89.0,26.5,69.59883652256083,47.924418261280415,Medium,1.0
2024-11-17,56.2,133.5,86.0,27.2,74.50073643593983,68.1352571068588,High,1.0
2024-11-18,0.1,133.6,90.0,25.7,67.1875313016773,45.67376565083864,Medium,1.0
2024-11-19,70.0,166.0,90.0,26.3,77.36106780061422,67.2805339003071,High,1.0
2024-11-20,,159.4,90.0,26.8,77.96808147623173,66.78084888573903,High,0.75
2024-11-21,1.9,161.3,90.0,26.5,70.21015355539807,49.958410111032364,Medium,1.0
2024-11-22,38.7,166.9,87.0,26.4,73.69255492558469,61.127944129459,Medium,1.0
2024-11-23,2.0,168.9,92.0,26.4,71.86567446255611,51.11617056461139,Medium,1.0
2024-11-24,0.3,113.0,91.0,26.1,67.00923340420505,46.61961670210253,Medium,1.0
2024-11-25,3.3,116.2,93.0,25.8,69.39822466335931,50.13077899834632,Medium,1.0
2024-11-26,2.6,48.8,86.0,26.8,52.42030888030887,42.45682110682111,Medium,1.0
2024-11-27,15.3,64.1,92.0,25.6,61.8430888030888,49.91821106821106,Medium,1.0
2024-11-28,2.2,64.4,85.0,26.9,56.057391677391664,44.010918060918044,Medium,1.0
2024-11-29,7.7,33.4,93.0,25.4,50.33394582332531,42.01197291166265,Medium,1.0
2024-11-30,,31.4,81.0,28.0,45.09996886398006,52.05998131838804,Medium,0.75
2024-12-01,4.1,35.2,82.0,27.5,43.68868895116093,41.249344475580465,Medium,1.0
2024-12-02,0.0,31.9,87.0,26.6,44.81790988346231,35.67284383062005,Medium,1.0
2024-12-03,1.4,30.7,83.0,27.4,41.99474779823858,38.117373899119286,Medium,1.0
2024-12-04,0.0,15.4,79.0,27.2,27.82042869641293,26.549103237095355,Low,1.0
2024-12-05,,13.2,75.0,27.2,23.62968517824159,28.886805815939667,Low,0.75
2024-12-06,0.0,5.5,73.0,28.4,17.46562929633795,26.074084489438814,Low,1.0
2024-12-07,2.0,7.5,74.0,28.3,20.237257842769644,28.960692413448324,Low,1.0
2024-12-08,0.0,3.4,70.0,28.7,14.621609798775149,24.949693788276463,Low,1.0
2024-12-09,0.0,3.4,79.0,26.8,17.260498687664043,19.046916010498695,Low,1.0
2024-12-10,0.0,2.0,78.0,28.0,17.824803149606296,25.78740157480315,Low,1.0
2024-12-11,0.0,2.0,78.0,28.3,18.588692038495186,27.69712379702538,Low,1.0
2024-12-12,11.5,13.5,86.0,26.3,38.32992125984251,37.06496062992125,Medium,1.0
2024-12-13,10.5,24.0,85.0,26.8,42.819268748332,40.542967707499336,Medium,1.0
2024-12-14,0.0,22.0,76.0,28.4,29.69402506131889,32.72399665764357,Low,1.0
2024-12-15,0.0,22.0,79.0,28.6,34.257517124810946,36.989869673516594,Medium,1.0
2024-12-16,0.0,22.0,79.0,28.7,34.39640601369983,37.3370918957388,Medium,1.0
2024-12-17,4.0,26.0,86.0,27.7,46.59074259407525,45.870371297037636,Medium,1.0
2024-12-18,25.5,51.5,89.0,26.0,57.42403474903474,50.10368404118403,Medium,1.0
