Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2025-06-02,0.0,134.20000000000002,74.0,28.7,54.43693541673697
2025-06-03,28.0,162.20000000000002,79.0,28.1,65.2408073470352
2025-06-04,1.0,134.60000000000002,83.0,27.6,64.39825773682968
2025-06-05,30.0,164.60000000000002,83.0,27.3,69.86727301362312
2025-06-06,36.6,201.2,86.0,26.4,74.88330498464447
2025-06-07,0.8,165.4,79.0,28.8,68.63959104391421
2025-06-08,0.0,95.60000000000002,78.0,28.2,54.94492676588708
2025-06-09,0.0,95.60000000000002,78.0,29.1,56.19492676588708
2025-06-10,40.8,108.40000000000003,85.0,26.3,68.23922513583746
2025-06-11,0.0,107.40000000000003,76.0,27.4,50.73111774830414
2025-06-12,0.0,77.40000000000003,80.0,28.6,55.9295903045903
2025-06-13,0.0,40.800000000000026,80.0,28.7,43.79742683035317
2025-06-14,0.0,40.800000000000026,78.0,28.6,39.90853794146428
2025-06-15,0.0,40.800000000000026,80.0,28.6,43.65853794146428
2025-06-16,0.8,40.800000000000026,88.0,26.3,53.95701746582451
2025-06-17,57.2,57.20000000000003,83.0,26.8,56.87101158301159
2025-06-18,0.2,57.400000000000034,79.0,28.1,46.83152831402832
2025-06-19,0.0,57.400000000000034,76.0,28.1,42.46581402831404
2025-06-20,0.0,57.400000000000034,75.0,28.4,42.52037752037752
2025-06-21,0.0,57.400000000000034,78.0,28.0,44.56402831402832
2025-06-22,0.0,57.400000000000034,73.0,28.4,41.44894894894895
2025-06-23,3.0,60.400000000000034,80.0,27.5,48.91677927927929
2025-06-24,0.0,3.2000000000000286,72.0,29.1,16.091113610798672
2025-06-25,0.0,3.0000000000000284,74.0,28.6,16.31061742282217
2025-06-26,0.0,3.0000000000000284,75.0,29.0,17.401887264092007
2025-06-27,0.0,3.0000000000000284,76.0,29.3,18.354268216472963
2025-06-28,0.0,3.0000000000000284,75.0,26.9,12.401887264092004
2025-06-29,7.0,10.000000000000028,77.0,26.9,21.25179352580928
2025-06-30,0.0,7.000000000000028,78.0,28.0,21.761811023622062
2025-07-01,0.0,7.000000000000028,76.0,28.7,20.670541182352217
2025-07-02,0.8,7.000000000000028,81.0,27.5,28.693678915135624
